"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,278.57",sep-08,"12,466.22","12,122.45"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,222.35,sep-08,"14,262.72","14,262.72"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,775.78,sep-08,"12,998.45","12,998.45"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,260.42",sep-07,"8,323.16","8,323.16"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,052.55",sep-07,"7,542.56","7,290.57"
ALAMBRON EXCEDENTES,ALAMBRON,"1,575.82",sep-07,"6,130.88","6,006.40"
ALAMBRON TREFILADO,ALAMBRON,"3,617.97",sep-07,"6,941.52","6,847.94"
ALAMBRONES ESPECIALES,ALAMBRON,"1,042.84",sep-07,"7,013.08","6,930.37"
ARMADURA,NEGROS ANTAAC,953.8,sep-07,"11,226.28","11,226.28"
CASTILLO DOB.,NEGROS ANTAAC,634.58,sep-07,"9,198.27","8,554.23"
CASTILLO HOJAS,NEGROS ANTAAC,"7,799.88",sep-07,"8,148.71","7,888.72"
CLAVO 2-5,NEGROS ANTAAC,"2,647.50",sep-07,"9,847.19","9,847.19"
ESCALERILLA,NEGROS ANTAAC,70.36,sep-07,"17,785.93","17,785.93"
ESTRIBOS,NEGROS ANTAAC,356.4,sep-07,"7,937.74","7,937.74"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,517.22",sep-07,"8,397.71","8,062.16"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,642.81",sep-07,"9,236.20","8,831.26"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,278.94,sep-07,"8,863.82","8,863.82"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,925.62,sep-07,"8,020.88","8,020.88"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,525.19",sep-06,"9,932.25","9,932.25"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,533.97",sep-06,"7,533.02","7,272.38"
ALAMBRON EXCEDENTES,ALAMBRON,"1,251.74",sep-06,"5,977.03","5,831.81"
ALAMBRON TREFILADO,ALAMBRON,"5,430.75",sep-06,"7,111.71","6,993.81"
ALAMBRONES ESPECIALES,ALAMBRON,"1,368.23",sep-06,"7,171.04","7,041.19"
ARMADURA,NEGROS ANTAAC,"1,072.32",sep-06,"12,307.95","12,307.95"
CASTILLO DOB.,NEGROS ANTAAC,749.43,sep-06,"10,937.21","10,280.13"
CASTILLO HOJAS,NEGROS ANTAAC,"10,553.98",sep-06,"8,762.28","8,475.62"
CLAVO 2-5,NEGROS ANTAAC,"2,368.15",sep-06,"11,782.06","11,782.06"
ESCALERILLA,NEGROS ANTAAC,60.92,sep-06,"15,827.80","15,827.80"
ESTRIBOS,NEGROS ANTAAC,293.46,sep-06,"8,458.21","8,458.21"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,180.18",sep-06,"9,923.79","9,457.35"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,457.24",sep-06,"11,158.30","10,725.14"
