"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
ESCALERILLA,NEGROS ANTAAC,35.94,dic-05,"15,333.35","15,333.35"
ESTRIBOS,NEGROS ANTAAC,219.91,dic-05,"7,019.63","7,019.63"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,636.76",dic-05,"6,907.85","6,564.85"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,628.05",dic-05,"8,034.61","7,600.59"
REMESH,NEGROS ANTAAC,0.1,dic-05,"9,420.64","9,237.68"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,66.88,dic-05,"6,049.72","6,049.72"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,565.33,dic-05,"5,939.24","5,939.24"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,794.52",dic-04,"8,512.56","8,512.56"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,564.45",dic-04,"7,366.12","7,153.40"
ALAMBRON EXCEDENTES,ALAMBRON,829.41,dic-04,"6,349.34","6,195.60"
ALAMBRON TREFILADO,ALAMBRON,"6,534.70",dic-04,"7,323.14","7,233.51"
ALAMBRONES ESPECIALES,ALAMBRON,776.01,dic-04,"7,191.44","7,032.86"
ARMADURA,NEGROS ANTAAC,879.29,dic-04,"10,445.43","10,445.43"
CASTILLO DOB.,NEGROS ANTAAC,655.76,dic-04,"10,151.07","9,560.69"
CASTILLO HOJAS,NEGROS ANTAAC,"8,674.18",dic-04,"8,610.34","8,357.13"
CLAVO 2-5,NEGROS ANTAAC,"2,887.93",dic-04,"9,600.26","9,600.26"
ESCALERILLA,NEGROS ANTAAC,64.6,dic-04,"14,943.46","14,943.46"
ESTRIBOS,NEGROS ANTAAC,128.34,dic-04,"8,234.15","8,234.15"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,392.39",dic-04,"8,477.62","8,079.55"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,302.54",dic-04,"9,880.19","9,431.87"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,79.27,dic-04,"9,323.93","9,323.93"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,451.56,dic-04,"8,147.64","8,147.64"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,302.19",dic-03,"5,102.15","5,102.15"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,656.50",dic-03,"4,339.14","4,132.45"
ALAMBRON EXCEDENTES,ALAMBRON,"1,384.16",dic-03,"3,581.40","3,437.38"
ALAMBRON TREFILADO,ALAMBRON,"9,592.74",dic-03,"4,278.85","4,195.66"
ALAMBRONES ESPECIALES,ALAMBRON,"1,588.07",dic-03,"3,915.32","3,768.21"
ARMADURA,NEGROS ANTAAC,526.86,dic-03,"7,777.88","7,777.88"
CASTILLO DOB.,NEGROS ANTAAC,722.75,dic-03,"6,066.91","5,772.20"
CASTILLO HOJAS,NEGROS ANTAAC,"8,282.03",dic-03,"5,365.79","5,330.55"
CLAVO 2-5,NEGROS ANTAAC,"2,854.91",dic-03,"5,573.68","5,573.68"
ESCALERILLA,NEGROS ANTAAC,48.7,dic-03,"10,118.64","10,118.64"
ESTRIBOS,NEGROS ANTAAC,98.04,dic-03,"5,109.33","5,109.33"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,633.85",dic-03,"5,077.73","4,658.61"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,024.87",dic-03,"5,683.67","5,242.41"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,68.24,dic-03,"5,274.07","5,274.07"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,458.89,dic-03,"4,799.17","4,799.17"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,467.89",dic-02,"4,213.80","4,213.80"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,215.44",dic-02,"3,379.05","3,184.52"
ALAMBRON EXCEDENTES,ALAMBRON,"1,366.25",dic-02,"2,838.89","2,692.63"
ALAMBRON TREFILADO,ALAMBRON,"7,031.32",dic-02,"3,365.09","3,248.02"
ALAMBRONES ESPECIALES,ALAMBRON,"1,237.58",dic-02,"3,273.32","3,112.51"
ARMADURA,NEGROS ANTAAC,384.02,dic-02,"6,461.91","6,461.91"
CASTILLO DOB.,NEGROS ANTAAC,"1,099.79",dic-02,"4,690.19","4,149.42"
CASTILLO HOJAS,NEGROS ANTAAC,"8,645.83",dic-02,"4,111.50","3,852.43"
CLAVO 2-5,NEGROS ANTAAC,"2,468.30",dic-02,"4,470.64","4,470.64"
ESCALERILLA,NEGROS ANTAAC,25.3,dic-02,"7,905.67","7,905.67"
ESTRIBOS,NEGROS ANTAAC,110.51,dic-02,"4,142.17","4,142.17"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,086.62",dic-02,"4,018.86","3,645.66"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,896.55",dic-02,"4,842.17","4,455.76"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,34.31,dic-02,"4,525.26","4,525.26"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,262.28,dic-02,"4,179.33","4,179.33"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,235.35",dic-01,"3,732.22","3,732.22"
ALAMBRON CONSTRUCCION,ALAMBRON,"6,267.06",dic-01,"2,848.46","2,848.46"
ALAMBRON EXCEDENTES,ALAMBRON,"1,007.39",dic-01,"2,496.23","2,496.23"
ALAMBRON TREFILADO,ALAMBRON,"7,237.64",dic-01,"2,740.13","2,740.13"
ALAMBRONES ESPECIALES,ALAMBRON,"1,273.40",dic-01,"2,946.01","2,946.01"
ARMADURA,NEGROS ANTAAC,239.92,dic-01,"6,689.83","6,689.83"
CASTILLO DOB.,NEGROS ANTAAC,883.33,dic-01,"3,883.21","3,883.21"
CASTILLO HOJAS,NEGROS ANTAAC,"7,742.10",dic-01,"3,370.94","3,370.94"
CLAVO 2-5,NEGROS ANTAAC,"2,751.77",dic-01,"4,145.96","4,145.96"
ESCALERILLA,NEGROS ANTAAC,15.64,dic-01,"6,343.67","6,343.67"
ESTRIBOS,NEGROS ANTAAC,113.63,dic-01,"3,777.37","3,777.37"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,292.31",dic-01,"3,226.93","3,226.93"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,570.79",dic-01,"3,623.48","3,623.48"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,51.93,dic-01,"4,345.59","4,345.59"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,153.99,dic-01,"3,995.87","3,995.87"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,705.03",ago-20,"14,785.84","13,738.22"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,411.46",ago-20,"12,543.36","11,292.27"
ALAMBRON ENDEREZADO,NEGROS ANTAAC,0.76,ago-20,"12,954.96","12,619.88"
ALAMBRON TREFILADO,ALAMBRON,"7,725.56",ago-20,"11,996.17","11,105.03"
ALAMBRONES ESPECIALES,ALAMBRON,"2,248.10",ago-20,"13,495.78","13,100.22"
ARMADURA,NEGROS ANTAAC,316.45,ago-20,"17,963.68","16,616.04"
CASTILLO DOB.,NEGROS ANTAAC,525.38,ago-20,"16,601.31","14,758.16"
CASTILLO HOJAS,NEGROS ANTAAC,"6,781.35",ago-20,"15,157.03","14,161.83"
CLAVO 2-5,NEGROS ANTAAC,"1,491.17",ago-20,"15,992.49","14,618.92"
ESCALERILLA,NEGROS ANTAAC,24.48,ago-20,"25,314.38","24,005.30"
ESTRIBOS,NEGROS ANTAAC,"1,109.84",ago-20,"13,661.95","12,945.88"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,615.9,ago-20,"15,735.98","14,554.98"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"1,971.97",ago-20,"16,397.68","15,214.62"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,10.01,ago-20,"16,119.41","14,912.36"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,147.89,ago-20,"15,400.76","14,375.56"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,697.70",ago-19,"13,893.78","12,966.42"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,475.21",ago-19,"11,940.77","10,631.23"
ALAMBRON TREFILADO,ALAMBRON,"6,621.95",ago-19,"11,936.29","11,108.71"
ALAMBRONES ESPECIALES,ALAMBRON,"1,183.76",ago-19,"13,480.44","12,677.35"
ARMADURA,NEGROS ANTAAC,435.08,ago-19,"16,402.07","15,400.86"
CASTILLO DOB.,NEGROS ANTAAC,664.68,ago-19,"14,234.62","12,721.31"
CASTILLO HOJAS,NEGROS ANTAAC,"4,601.38",ago-19,"12,517.03","11,783.16"
CLAVO 2-5,NEGROS ANTAAC,"1,625.11",ago-19,"15,225.02","13,953.45"
ESCALERILLA,NEGROS ANTAAC,31.14,ago-19,"22,929.11","21,696.66"
ESTRIBOS,NEGROS ANTAAC,921.9,ago-19,"13,223.50","12,210.59"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,068.39",ago-19,"13,179.24","12,378.49"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,713.40",ago-19,"13,552.84","12,619.09"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,37.33,ago-19,"14,131.30","13,576.25"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,250.02,ago-19,"13,956.29","13,185.95"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,337.93",ago-18,"17,776.18","16,954.38"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,325.19",ago-18,"15,383.89","14,248.27"
ALAMBRON TREFILADO,ALAMBRON,"9,597.15",ago-18,"15,056.02","14,436.76"
ALAMBRONES ESPECIALES,ALAMBRON,"2,376.52",ago-18,"15,755.34","15,501.74"
ARMADURA,NEGROS ANTAAC,430.16,ago-18,"19,304.99","18,379.41"
CASTILLO DOB.,NEGROS ANTAAC,788.17,ago-18,"19,228.78","17,793.36"
CASTILLO HOJAS,NEGROS ANTAAC,"4,378.35",ago-18,"17,594.36","16,919.88"
CLAVO 2-5,NEGROS ANTAAC,"1,481.93",ago-18,"19,161.14","18,036.77"
ESCALERILLA,NEGROS ANTAAC,38.58,ago-18,"23,097.11","21,917.25"
ESTRIBOS,NEGROS ANTAAC,804.14,ago-18,"16,425.01","15,580.72"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,569.11,ago-18,"19,472.79","18,596.29"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"1,841.67",ago-18,"20,448.84","19,534.51"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,24.08,ago-18,"17,689.17","16,812.51"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,240.11,ago-18,"16,906.61","16,317.36"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,551.54",ago-17,"12,124.24","11,470.51"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,208.35",ago-17,"10,149.19","9,605.02"
ALAMBRON TREFILADO,ALAMBRON,"10,385.58",ago-17,"10,094.67","9,918.06"
ALAMBRONES ESPECIALES,ALAMBRON,321.81,ago-17,"10,975.59","10,825.45"
ARMADURA,NEGROS ANTAAC,514.15,ago-17,"14,571.92","13,897.19"
CASTILLO DOB.,NEGROS ANTAAC,"1,106.90",ago-17,"12,743.47","12,098.76"
CASTILLO HOJAS,NEGROS ANTAAC,"9,379.00",ago-17,"11,345.00","11,066.13"
CLAVO 2-5,NEGROS ANTAAC,"1,624.11",ago-17,"13,548.47","12,595.66"
ESCALERILLA,NEGROS ANTAAC,54.7,ago-17,"19,093.27","17,790.55"
ESTRIBOS,NEGROS ANTAAC,"1,123.10",ago-17,"10,995.11","10,156.52"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,667.81",ago-17,"12,862.97","12,551.31"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,778.05",ago-17,"14,086.61","13,670.72"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,27.07,ago-17,"13,265.85","12,706.80"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,188.76,ago-17,"13,122.30","12,640.61"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,910.89",ago-16,"13,882.79","13,399.56"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,940.11",ago-16,"10,543.64","10,301.96"
ALAMBRON OTROS,ALAMBRON,100.43,ago-16,"11,800.00","11,672.00"
ALAMBRON TREFILADO,ALAMBRON,"9,707.14",ago-16,"10,375.37","10,274.49"
ALAMBRONES ESPECIALES,ALAMBRON,699.67,ago-16,"11,687.35","11,595.18"
ARMADURA,NEGROS ANTAAC,538.82,ago-16,"16,071.82","15,524.09"
CASTILLO DOB.,NEGROS ANTAAC,866.36,ago-16,"15,204.67","14,547.60"
CASTILLO HOJAS,NEGROS ANTAAC,"5,619.35",ago-16,"13,952.81","13,657.29"
CLAVO 2-5,NEGROS ANTAAC,"1,659.14",ago-16,"15,509.60","14,532.94"
ESCALERILLA,NEGROS ANTAAC,47.88,ago-16,"18,966.67","17,701.20"
ESTRIBOS,NEGROS ANTAAC,762,ago-16,"11,078.51","10,372.83"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,538.44",ago-16,"13,770.23","13,385.14"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,159.59",ago-16,"15,444.38","15,094.48"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,121.51,ago-16,"13,332.05","13,062.21"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,630.33,ago-16,"13,114.95","12,607.75"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,746.65",ago-15,"10,103.96","9,515.71"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,573.70",ago-15,"8,596.76","8,356.66"
ALAMBRON TREFILADO,ALAMBRON,"7,788.84",ago-15,"8,777.00","8,676.82"
ALAMBRONES ESPECIALES,ALAMBRON,909.18,ago-15,"11,486.23","11,346.59"
ARMADURA,NEGROS ANTAAC,693.59,ago-15,"11,284.58","10,725.83"
CASTILLO DOB.,NEGROS ANTAAC,"1,002.31",ago-15,"10,487.15","9,888.88"
CASTILLO HOJAS,NEGROS ANTAAC,"8,437.98",ago-15,"9,609.88","9,351.28"
CLAVO 2-5,NEGROS ANTAAC,"1,797.93",ago-15,"11,343.07","10,443.72"
ESCALERILLA,NEGROS ANTAAC,49.08,ago-15,"16,696.93","15,831.61"
ESTRIBOS,NEGROS ANTAAC,773.59,ago-15,"9,695.26","9,062.94"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,315.93",ago-15,"9,919.17","9,630.00"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,706.40",ago-15,"10,648.47","10,334.27"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,59.68,ago-15,"10,595.86","10,138.36"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,413.06,ago-15,"10,332.76","9,870.46"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,074.14",ago-14,"9,820.94","9,820.94"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,594.85",ago-14,"8,810.67","8,564.76"
ALAMBRON TREFILADO,ALAMBRON,"5,816.38",ago-14,"9,682.52","8,830.94"
ALAMBRONES ESPECIALES,ALAMBRON,693.93,ago-14,"11,190.37","9,712.99"
ARMADURA,NEGROS ANTAAC,517.38,ago-14,"11,091.35","11,091.35"
CASTILLO DOB.,NEGROS ANTAAC,988.76,ago-14,"9,852.07","9,285.67"
CASTILLO HOJAS,NEGROS ANTAAC,"7,226.36",ago-14,"8,841.00","8,616.81"
CLAVO 2-5,NEGROS ANTAAC,"2,019.05",ago-14,"11,053.23","11,053.23"
ESCALERILLA,NEGROS ANTAAC,48.67,ago-14,"17,371.63","17,371.63"
ESTRIBOS,NEGROS ANTAAC,527.79,ago-14,"9,554.71","9,554.71"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,316.87",ago-14,"9,311.57","9,028.05"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,626.38",ago-14,"10,148.09","9,819.06"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,61.57,ago-14,"10,556.42","10,556.42"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,520.29,ago-14,"10,108.74","10,108.74"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,958.84",ago-13,"9,558.54","9,558.54"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,299.45",ago-13,"8,674.53","8,463.89"
ALAMBRON TREFILADO,ALAMBRON,"5,628.07",ago-13,"9,083.37","8,634.18"
ALAMBRONES ESPECIALES,ALAMBRON,"1,082.70",ago-13,"11,083.52","9,452.05"
ARMADURA,NEGROS ANTAAC,624.94,ago-13,"11,136.50","11,136.50"
CASTILLO DOB.,NEGROS ANTAAC,"1,088.20",ago-13,"9,755.24","9,211.53"
CASTILLO HOJAS,NEGROS ANTAAC,"6,616.51",ago-13,"8,522.84","8,304.10"
CLAVO 2-5,NEGROS ANTAAC,"1,591.10",ago-13,"11,283.25","11,283.25"
ESCALERILLA,NEGROS ANTAAC,35.43,ago-13,"17,759.82","17,759.82"
ESTRIBOS,NEGROS ANTAAC,309.94,ago-13,"9,965.56","9,965.56"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,594.23",ago-13,"9,345.15","9,025.47"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,071.26",ago-13,"8,939.61","8,687.37"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,114.73,ago-13,"10,164.97","10,164.97"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,419.32,ago-13,"9,929.93","9,929.93"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,972.17",ago-12,"11,329.15","11,329.15"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,923.46",ago-12,"10,569.21","10,364.82"
ALAMBRON TREFILADO,ALAMBRON,"7,567.58",ago-12,"10,537.33","9,798.10"
ALAMBRONES ESPECIALES,ALAMBRON,381.04,ago-12,"12,155.77","10,724.24"
ARMADURA,NEGROS ANTAAC,658.16,ago-12,"12,846.33","12,846.33"
CASTILLO DOB.,NEGROS ANTAAC,"1,007.01",ago-12,"11,603.72","10,966.83"
CASTILLO HOJAS,NEGROS ANTAAC,"7,585.56",ago-12,"10,472.15","10,258.87"
CLAVO 2-5,NEGROS ANTAAC,"1,829.62",ago-12,"12,500.87","12,500.87"
ESCALERILLA,NEGROS ANTAAC,51.79,ago-12,"18,455.43","18,455.43"
ESTRIBOS,NEGROS ANTAAC,158.15,ago-12,"11,442.18","11,442.18"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,944.09",ago-12,"10,762.51","10,465.68"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,752.46",ago-12,"10,980.53","10,694.71"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,144.98,ago-12,"12,040.94","12,040.94"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,801.66,ago-12,"11,626.46","11,626.46"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,058.61",ago-11,"11,762.07","11,762.07"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,739.96",ago-11,"10,503.87","10,318.22"
ALAMBRON EXCEDENTES,ALAMBRON,175.71,ago-11,"8,790.56","8,718.57"
ALAMBRON TREFILADO,ALAMBRON,"4,844.41",ago-11,"10,390.55","10,285.30"
ALAMBRONES ESPECIALES,ALAMBRON,"1,761.16",ago-11,"10,801.47","10,677.59"
ARMADURA,NEGROS ANTAAC,616.06,ago-11,"13,311.32","13,311.32"
CASTILLO DOB.,NEGROS ANTAAC,740.68,ago-11,"12,625.16","12,052.25"
CASTILLO HOJAS,NEGROS ANTAAC,"10,358.32",ago-11,"11,767.23","11,528.34"
CLAVO 2-5,NEGROS ANTAAC,"1,879.50",ago-11,"12,796.01","12,796.01"
ESCALERILLA,NEGROS ANTAAC,46.94,ago-11,"18,755.64","18,755.64"
ESTRIBOS,NEGROS ANTAAC,222.87,ago-11,"11,157.04","11,157.04"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,162.78",ago-11,"11,525.23","11,268.08"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,213.47",ago-11,"12,871.19","12,544.71"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,357.96,ago-11,"11,353.22","11,353.22"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,554.52",ago-11,"11,073.46","11,073.46"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,918.97",ago-10,"8,519.49","8,519.49"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,237.57",ago-10,"7,728.47","7,519.77"
ALAMBRON EXCEDENTES,ALAMBRON,"1,685.95",ago-10,"6,626.43","6,489.18"
ALAMBRON TREFILADO,ALAMBRON,"2,957.53",ago-10,"8,474.66","8,382.06"
ALAMBRONES ESPECIALES,ALAMBRON,551.34,ago-10,"8,785.95","8,672.17"
ARMADURA,NEGROS ANTAAC,617.15,ago-10,"9,555.66","9,555.66"
CASTILLO DOB.,NEGROS ANTAAC,882.44,ago-10,"8,614.68","7,934.88"
CASTILLO HOJAS,NEGROS ANTAAC,"10,390.95",ago-10,"7,728.43","7,469.33"
CLAVO 2-5,NEGROS ANTAAC,"2,243.87",ago-10,"9,772.07","9,772.07"
ESCALERILLA,NEGROS ANTAAC,34.69,ago-10,"16,449.96","16,449.96"
ESTRIBOS,NEGROS ANTAAC,243.66,ago-10,"8,657.01","8,657.01"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,029.86",ago-10,"8,077.76","7,828.98"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,526.54",ago-10,"8,828.39","8,464.97"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,180.86,ago-10,"9,520.30","9,520.30"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,105.22",ago-10,"8,887.72","8,887.72"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,082.67",ago-09,"8,590.58","8,590.58"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,737.39",ago-09,"7,894.59","7,689.55"
ALAMBRON EXCEDENTES,ALAMBRON,"1,081.01",ago-09,"7,228.71","7,095.20"
ALAMBRON TREFILADO,ALAMBRON,"4,030.94",ago-09,"7,777.33","7,693.23"
ALAMBRONES ESPECIALES,ALAMBRON,930.97,ago-09,"7,539.60","7,401.16"
ARMADURA,NEGROS ANTAAC,617.26,ago-09,"10,747.23","10,747.23"
CASTILLO DOB.,NEGROS ANTAAC,"1,002.49",ago-09,"8,765.94","8,199.57"
CASTILLO HOJAS,NEGROS ANTAAC,"9,693.67",ago-09,"7,718.78","7,473.20"
CLAVO 2-5,NEGROS ANTAAC,"2,074.53",ago-09,"10,303.04","10,303.04"
ESCALERILLA,NEGROS ANTAAC,35.69,ago-09,"18,644.73","18,644.73"
ESTRIBOS,NEGROS ANTAAC,388.77,ago-09,"8,531.74","8,531.74"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,624.65",ago-09,"8,272.66","7,991.24"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,863.17",ago-09,"9,058.50","8,679.92"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,186.16,ago-09,"9,253.58","9,253.58"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,915.48,ago-09,"8,804.57","8,804.57"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,158.23",ago-08,"14,006.58","14,006.58"
ALAMBRON CONSTRUCCION,ALAMBRON,"1,766.99",ago-08,"12,649.83","12,402.52"
ALAMBRON EXCEDENTES,ALAMBRON,"1,459.60",ago-08,"10,372.76","10,246.98"
ALAMBRON TREFILADO,ALAMBRON,"4,219.96",ago-08,"13,080.49","12,985.80"
ALAMBRONES ESPECIALES,ALAMBRON,421.9,ago-08,"12,862.58","12,734.58"
ARMADURA,NEGROS ANTAAC,708.53,ago-08,"16,304.71","16,304.71"
CASTILLO DOB.,NEGROS ANTAAC,751.52,ago-08,"15,851.80","15,182.78"
CASTILLO HOJAS,NEGROS ANTAAC,"5,934.39",ago-08,"13,823.09","13,542.28"
CLAVO 2-5,NEGROS ANTAAC,"1,886.82",ago-08,"14,961.64","14,961.64"
ESCALERILLA,NEGROS ANTAAC,39.66,ago-08,"21,412.76","21,412.76"
ESTRIBOS,NEGROS ANTAAC,238.62,ago-08,"13,377.02","13,377.02"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,681.35",ago-08,"13,622.80","13,274.90"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,552.87",ago-08,"14,393.93","14,028.57"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,296.1,ago-08,"15,415.07","15,415.07"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,751.74,ago-08,"13,472.54","13,472.54"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,020.80",ago-07,"8,050.81","8,050.81"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,033.33",ago-07,"7,182.72","6,924.98"
ALAMBRON EXCEDENTES,ALAMBRON,"2,274.89",ago-07,"6,092.43","5,965.84"
ALAMBRON TREFILADO,ALAMBRON,"4,971.73",ago-07,"6,887.33","6,780.42"
ALAMBRONES ESPECIALES,ALAMBRON,785.11,ago-07,"7,149.85","7,031.18"
ARMADURA,NEGROS ANTAAC,"1,158.76",ago-07,"11,124.53","11,124.53"
CASTILLO DOB.,NEGROS ANTAAC,844.28,ago-07,"8,722.35","8,060.32"
CASTILLO HOJAS,NEGROS ANTAAC,"12,663.18",ago-07,"7,486.47","7,227.49"
CLAVO 2-5,NEGROS ANTAAC,"2,718.86",ago-07,"9,585.75","9,585.75"
ESCALERILLA,NEGROS ANTAAC,53.33,ago-07,"16,967.20","16,967.20"
ESTRIBOS,NEGROS ANTAAC,438,ago-07,"7,767.10","7,767.10"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,835.62",ago-07,"8,019.30","7,674.00"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,542.03",ago-07,"8,884.04","8,532.68"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,238.65,ago-07,"8,504.22","8,504.22"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,154.96",ago-07,"8,112.81","8,112.81"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,473.38",ago-06,"11,200.79","11,200.79"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,092.74",ago-06,"8,510.83","8,249.21"
ALAMBRON EXCEDENTES,ALAMBRON,"1,759.74",ago-06,"6,970.57","6,814.80"
ALAMBRON TREFILADO,ALAMBRON,"8,301.01",ago-06,"7,816.97","7,691.78"
ALAMBRONES ESPECIALES,ALAMBRON,"1,068.99",ago-06,"7,100.58","6,961.05"
ARMADURA,NEGROS ANTAAC,"1,112.14",ago-06,"12,631.26","12,631.26"
CASTILLO DOB.,NEGROS ANTAAC,634.45,ago-06,"11,589.10","10,918.90"
CASTILLO HOJAS,NEGROS ANTAAC,"10,107.82",ago-06,"9,693.49","9,411.08"
CLAVO 2-5,NEGROS ANTAAC,"2,377.06",ago-06,"12,983.35","12,983.35"
ESCALERILLA,NEGROS ANTAAC,116.97,ago-06,"16,248.65","16,248.65"
